message,label
urgent please call landline complimentary lux costa del sol holiday £ cash await collection ppm sae tc james ehrr,1
chk ur belovd m dict,0
private account statement show unredeemed point call identifier code expires,1
cant pick phone right pls send message,0
sir hope day going smoothly really hoped wont bother bill cant settle month extra cash know challenging time also let know,0
hard live chat pmin choose girl connect live call cheap chat uk biggest live service vu bcmwcnxx,1
wat ü,0
thk shld b ya wana go lesson haha go one whole stretch,0
call like ltgt time oh give u hypertension oh,0
life alle moneeppolum oru pole allalo,0
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0
living simple loving also simple laughing simple winning tooo simple simple difficult,0
either way work ltgt year old hope doesnt bother,0
nicenicehow working,0
still around looking pick later,0
sir waiting call,0
see forwarding message proof,0
hi chikku send nice msg,0
haha awesome ive u couple time alls coming,0
goal arsenal henry v liverpool henry score simple shot yard pas bergkamp give arsenal goal margin min,1
much buzy,0
skallis wont play first two odi,0
ki send ltgt min,0
review keep fantastic nokia ngage game deck club nokia go wwwcnupdatescomnewsletter unsubscribe alert reply word,1
got lousy sleep kept waking every hour see cat wanted come worry cold,0
ok ü finishing soon,0
cool ill text,0
hey u still gym,0
wherres boytoy,0
dear reache room,0
k ill head min see,0
thanks understanding ive trying tell sura,0
whenevr ur sad whenevr ur gray remembr im listn watevr u wan na say jus walk wid little whileamp promise ill bring back ur smile,0
im done,0
oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,0
joy father john john joy father u an th hav ltgt iq ti ia question try answer,0
sitting ard nothing lor u leh busy w work,0
nokia get win free auction take part send nokia hgsuitelands rowwjhl,1
get door im,0
anytime,0
coming day class,0
problem baby good time talk called left message,0
wasnt enough trouble sleeping,0
movie laptop,0
tried call reply sm video mobile min unlimited text free camcorder reply call,1
whats bruv hope great break rewarding semester,0
okay wait ah,0
senthil group company apnt pm,0
probably want pick,0
tuesday night r u real,0
trust even isnt,0
im arestaurant eating squid wan na dosomething late,0
always putting business put picture as facebook one open people ive ever met would think picture room would hurt make feel violated,0
going nothing greatbye,0
yes outside like hour called whole family wake cause started,0
ill see swing bit got thing take care firsg,0
sorry able get see morning,0
dunno lei ü decide lor abt leona oops tot ben going n msg,0
dont flatter tell man mine two pint carlin ten minute please,0
sir receive account another hr time sorry delay,0
hellohow u doingwhat u u b moving flat co need arrange pick lamp etc take care hello caroline,0
creepy crazy,0
today vodafone number ending selected receive £ award number match call receive £ award,1
ay wana meet satü wkg sat,0
hi babe jordan r u im home abroad lonely text back u wan na chat xxsp visionsmscom text stop stopcost p,1
number vivek,0
hey mr going sea view couple gay mean game give bell ya finish,0
themobhit link get premium pink panther game new sugababes crazy zebra animation badass hoody wallpaperall free,1
hi test ltgt rd,0
come people,0
went fast asleep deartake care,0
please call customer service representative freephone ampm guaranteed £ cash £ prize,1
emailed yifeng part oredi ü get fr,0
hey something came last min think wun signing tmr hee,0
theoretically yeah could able come,0
world famamus,0
kall bestcongrats,0
hi darlin ive got back really nice night thanks much lift see u tomorrow xxx,0
ok,0
thanx today cer nice catch ave find time often oh well take care c u soonc,0
‘ give flying monkey wot think certainly ‘ mind friend mine,0
yeah usual guy town therere definitely people around know,0
alrite jod hows revision goin keris bin doin smidgin n e way u wan na cum collegexx,0
ok thanx,0
tell theyre female v howre throwing deciding get,0
kkim also finewhen complete course,0
probably earlier station think,0
lmao know well,0
love cuddle want hold strong arm right,0
way send shade stuff wonderful,0
dont shall buy one dear,0
lol know theyre dramatic school already closed tomorrow apparently cant drive inch snow supposed get,0
printer cool mean groovy wine groovying,0
r u continent,0
ur ringtone service changed free credit go clubmobilescom choose content stop txt club stop pwk club po box mk wt,1
lol grin im babe thanks thinking,0
much u trying get,0
know ltgt ill around,0
im meeting darren,0
sorry ill call later,0
aaooooright work,0
im working technical support voice process,0
best watch say cause get drunk motherfucker,0
message food,0
compliment away system side,0
de call time ill tell k,0
wat time u wan meet later,0
married local woman looking discreet action real match instantly phone text match msg cost p stop txt stop bcmsfwcnxx,1
oh shit thought trip loooooool make much sense grin sofa reference sleep couch link sent wasnt went trip oh didnt babe go celebration rent,0
nimbomsons yep phone know one obviously co thats real word,0
hi please get ltgt dollar loan ill pay back mid february pls,0
sent scream moan bed princess,0
uncle abbey happy new year abiola,0
tomarrow want got court ltdecimalgt come bus stand,0
prabhaim sorydarealyfrm heart im sory,0
unbelievable faglord,0
ok come ur home half hour,0
wake since checked stuff saw true available space pls call embassy send mail,0
bank granite issue strongbuy explosive pick member nasdaq symbol cdgt per,1
got tallent wasting,0
well welp sort semiobscure internet thing,0
hi im sorry missed call pls call back,0
hmm yeah grooved im looking forward pound special,0
got new year co yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended,0
also north carolina texas atm would go gre site pay test result sent,0
cal sir meeting,0
dont necessarily expect done get back though im headin,0
ok lor,0
studying ill free next weekend,0
yes replied mail im going management office later plus bank later alsoor wednesday,0
yes completely formclark also utter waste,0
thank u better work cause feel used otherwise,0
stop however suggest stay someone able give or every stool,0
forwarded free entry £ weekly comp send word enter tc wwwtextcompcom,1
usualiam fine happy amp well,0
sweet well princess please tell like dislike bed,0
lol ok ill try send warned sprint dead slow youll prolly get tomorrow,0
hows queen going royal wedding,0
sch neva mind u eat st lor,0
ltgt min stop somewhere first,0
cheer card time year already,0
great princess thinking,0
dont think need yellow card uk travel ask someone gone ltgt buck,0
well great weekend,0
dorothykiefercom bank granite issue strongbuy explosive pick member nasdaq symbol cdgt per,1
want snow freezing windy,0
say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls,0
yar tot u knew dis would happen long ago already,0
lol wtf random btw lunch break,0
please ask mummy call father,0
aiyo please ü got time meh,0
different style,0
wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,0
£ price claim call,1
new mobile must go txt nokia collect todayfrom £ wwwtcbiz optout gbpmtmsg,1
si think waste rr,0
realy sorryi dont recognise number confused r u please,0
slaaaaave must summon time dont wish come anymore,0
yup paragon havent decided whether cut yet hee,0
please call immediately urgent message waiting,1
ive got ten buck jay noncomittal,0
going goodno problembut still need little experience understand american customer voice,0
much eighth,0
ever notice youre driving anyone going slower idiot everyone driving faster maniac,1
dont know exactly could ask chechi,0
hi moved pub would great c u u cud come,0
would great well guild could meet bristol road somewhere get touch weekend plan take flight good week,0
ok,0
keeping away like,0
please give u connection today ltdecimalgt refund bill,0
otherwise part time job natuition,0
long time remember today,0
lol happens vega stay vega,0
im going dinner soon,0
sure thing big man hockey election ‘ go longer hour though,0
know dad back,0
dun cut short leh u dun like ah failed shes quite sad,0
account credited free text message activate txt word credit tc wwwbiz,1
wondering would okay call uncle john let know thing nigeria r ltgt dollar year sent know strain plan pay back every dime give every dime expect anything practical something like,0
say hi get as back south tampa preferably kegger,0
yun ahthe ubi one say ü wan call tomorrowcall look ireneere got bus ubi cresubi tech parkph st wkg daysèn,0
class ltgt reunion,0
free call sir waiting,0
sorry cant text amp drive coherently see twenty,0
urgent trying contact u today draw show £ prize guaranteed call land line claim validhrs,1
wot wed nite til,0
im sick im needy want pout stomp foot pout stomp foot want slave want,0
sorry ill call later,0
time coming later,0
er yeah b sorry tell pubcafe sit come wen u,0
hi hope good day better night,0
ok stay night xavier sleeping bag im getting tired,0
spook mob halloween collection logo pic message plus free eerie tone txt card spook zed p per logopic,1
dear take care reaching homelove u lot,0
thats honeymoon outfit,0
somewhr someone surely made u god decided perfect time make u meet dat person till den enjoy ur crush,0
lol gon na last month cashed left ltgt case collecting week cause announced blog,0
christmas occasion celebrated reflection ur value desire affectionsamp tradition ideal christmas,0
big chic common declare,0
nd time tried contact u u £ prize claim call b tcsstop sm ppm,1
lol oh babe wont sliding place midnight thanks invite,0
poyyarikaturkolathupalayamunjalur posterode dis ltgt,0
cps causing outage conserve energy,0
wine flowing im nevering,0
costa del sol holiday £ await collection call toclaim sae tc pobox stockport skxh cost£pm maxmins,1
im movie collect car oredi,0
called said himthen choose future,0
im diet ate many slice pizza yesterday ugh im always diet,0
yo howz u girl never rang india l,0
yes rent expensive way save,0
holding,0
hows loverboy keep coming queen hmmm doesnt ache speak miss desparately,0
ü mean confirmed tot juz say oni ok,0
get garden ready summer free selection summer bulb seed worth £ scotsman saturday stop go notxtcouk,1
class hour sorry,0
great getting worried know wonderful caring person like best life know u r wonderful god love,0
alright babe justthought id sayhey u doinnearly endof wk offdam nevamindwe hook sn uwant lovejen x,0
r u meeting da ge nite tmr,0
hot live fantasy call p per min ntt ltd po box croydon cr wb k,1
thinkin someone good drug,0
come u got nothing,0
looked addie go back monday suck,0
lord ringsreturn king store nowreply lotr june chance win lotr soundtrack cd stdtxtrate reply stop end txts,1
saturday sunday holiday difficult,0
hui xin da lib,0
fine imma get drink somethin want come find,0
sent de webadres geting salary slip,0
lol wont feel bad use money take steak dinner,0
tell drug dealer getting impatient,0
supposed wake gt,0
dunno close oredi ü v fan,0
hey going lo lesson gym,0
get garden ready summer free selection summer bulb seed worth £ scotsman saturday stop go notxtcouk,1
one best dialogue cute reltnship wen die dont come near body bcoz hand may come wipe ur tear timegud ni,0
pls come quick cant bare,0
sir late paying rent past month pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead month end please help thanks,0
upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july tc apply optout available,1
ok,0
dawhats plan,0
movie theatre go watch unlimited movie pay,0
pls whats full name joke school co fee university florida seem actually ltgt k pls holla back,0
thanks fill complete calm reassurance,0
u goin nite,0
im chennai velachery,0
family happiness,0
probably come everybodys done around ltgt right,0
oh ic thought meant mary jane,0
oh dang didnt mean send lol,0
nope ill come online,0
good good billy mate gone jogging enjoy concert,0
co lar im ba dao ok pm lor u never ask go ah said u would ask fri said u ask today,0
lot used one babe model doesnt help youi bring hell match,0
goodnight sleep well da please take care pa please,0
sleepingand surfing,0
worse us half way stop better complete,0
jesus christ bitch im trying give drug answer fucking phone,0
suck got planned yo valentine yo valentine arent,0
picking various point,0
lol real told dad cancer,0
cashbincouk get lot cash weekend wwwcashbincouk dear welcome weekend got biggest best ever cash give away,1
ur chance win £ wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk,1
nice waitshould texting right im gon na pay ticket ya know,0
never lei v lazy got wat dat day ü send da url cant work one,0
sound better evening im costume im sure time finish tomorrow txt end,0
wish u many many return day happy birthday vikky,0
aint answerin phone actually pretty reasonable hour im sleepy,0
bookedthe hut also time way,0
come tomorrow di,0
win year supply cd store ur choice worth £ enter £ weekly draw txt music tscs wwwldewcomsubswinppmx,1
catch bus frying egg make tea eating mom left dinner feel love,0
give sec think think,0
k text youre way,0
thank way lost,0
chosen receive £ award pls call claim number collect award selected receive valued mobile customer,1
last chance claim ur £ worth discount voucher today text shop savamob offer mobile c savamob pobox muz £ sub,1
howz person story,0
waiting e car dat bored wat co wait outside got nothing home stuff watch tv wat,0
fun fact although would think armand would eventually build tolerance shit considering much smoke get fucked like hit,0
well like actually called someone punto woulda worse,0
love as enjoy doggy style,0
win newest “ harry potter order phoenix book reply harry answer question chance first among reader,1
pizza u want,0
dnt wnt tlk wid u,0
today system sh get readyall well also deep well,0
excellent ready moan scream ecstasy,0
uve selected stay top british hotel nothing holiday valued £ dial claim national rate call bx sw,1
wondering others took,0
read shame tell take run blame u ever really ever long time,0
well done costa del sol holiday £ await collection call toclaim sae tc pobox stockport skxh cost£pm maxmins,1
haha heard text youre around,0
ki didt see youkwhere,0
im also came room,0
see knew giving break time woul lead always wanting miss curfew gon na gibe til one midnight movie gon na get til need come home need getsleep anything need b studdying ear training,0
ugh got outta class,0
haha hope ü hear receipt sound gd luck,0
hows weather,0
noi got rumour going buy apartment chennai,0
jot thing want remember later,0
asked hows anthony dad bf,0
ü decide faster co si going home liao,0
might want pull case plan spending dont much confidence derek taylor money management,0
im good registered vote,0
made payment dont much sorry would want fedex way,0
isnt frnd necesity life imagine urself witout frnd hwd u feel ur colleg watll u wth ur cell wat abt function thnk abt event espell cared missed amp irritated u wrd dearloving frnds wthout u cant live jst takecare goodmorning,0
sort code acc bank natwest reply confirm ive sent right person,0
faith make thing possiblehope make thing worklove make thing beautifulmay three christmasmerry christmas,0
dont know jack shit anything id sayask something helpful want pretend text whatever response hypotheticalhuagauahahuagahyuhagga,0
congrats mobile g videophones r call videochat wid ur mate play java game dload polyph music noline rentl bx ip p,1
purity friendship two smiling reading forwarded messageits smiling seeing name gud evng,0
im okay chasing dream whats good next,0
okok okthenwhats ur today plan,0
lol could starve lose pound end day,0
new address applespairsall malarky,0
awesome gon na soon later tonight,0
ur paper today e morn aft,0
tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria le expensive much le expensive unless getting citizen rate new zealand,0
miserable dont tell u side effect birth control massive gut wrenching cramp first month didnt sleep last night,0
sorry ill call later,0
way home long dry spell season would,0
take didnt phone callon friday assume wont year,0
happy new year princess,0
lil fever fine,0
bus leaf ltgt,0
final chance claim ur £ worth discount voucher today text yes savamob member offer mobile c savamob pobox muz £ sub,1
would smoking help u work difficult time,0
hey babe hows going ever figure going new year,0
thing r good thanx got exam march ive done revision fran still boyf ive got ta interviw exeter bit worriedx,0
cash prize claim call tc rstm sw s ppm,1
nd time tried contact u u pound prize claim easy call p per min btnationalrate,1
said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife,0
hey dont forget mine possession property mmm childish smile,0
contract mobile mnths latest motorola nokia etc free double min text orange tariff text yes callback remove record,1
ur chance win £ cash every wk txt action tscs wwwmovietriviatv custcare xpwk,1
babe love cover face kiss,0
worry im sure youll get,0
show ur colour euro offer get england flag lion tone ur phone click following service message info,1
cthen thk shd b enuff still got conclusion n content pg n reference ill b da content pg n cover pg,0
someonone know trying contact via dating service find could call mobile landline boxskch,1
oh forwarded message thought send,0
oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,0
cant dont number,0
shit babe thasa bit messed upyeh shudvetold u urgran knowneway illspeak umoro wen im asleep,0
stuff sell ill tell,0
ok,0
seeing,0
yes pretty lady like single,0
urgent trying contact u today draw show £ prize guaranteed call land line claim validhrs,1
thats one issue california okay snow manageable,0
well weather cali great complexity great need car move freely tax outrageous great place sad part missing home,0
wuld without baby thought alone mite break dont wan na go crazy everyboy need lady xxxxxxxx,0
jamster get free wallpaper text heart tc apply need help call,1
oic saw tot din c found group liao,0
master buy bb co sale hows bf,0
life mean lot love life love people life world call friend call world ge,0
shes good wondering wont say hi shes smiling coping long distance,0
love girl office may wonder smiling sore,0
news hassling get weed week andres money haughaighgtujhyguj,0
havent lei next mon,0
didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep,0
ive barred b q store lifethis twat orange dungerees came asked wanted decking got first punch,0
hey gal anyone u going e driving centre tmr,0
hey kate hope ur ok give u buz wedlunch go outsomewhere adrink towncud go watershd bit ppl fromwrk bthere love petexxx,0
dont much image class,0
ugh cant u apologize admit u wrong ask take u back,0
mmmm fuck fair know weakness grin push knee expose belly pull head dont forget know wicked smile,0
quite late lar ard anyway wun b drivin,0
much bad avoid like,0
thats shame maybe cld meet hr tomo,0
party place usf charge contribute way greatly appreciated yeah got room one,0
hav almost reached call unable connect u,0
go home first lar ü wait lor put stuff first,0
whenever see still hook,0
itll tough ill,0
pls pls drink plenty plenty water,0
yeah sure ill leave min,0
start sending blackberry torch nigeria find buyer melike month tell dad buy bb anyone oh,0
mmmmm loved waking word morning miss love hope day go well happy wait u together,0
happens r waxsto wat want come ill get medical insurance shell able deliver basic care im currently shopping right medical insurance give til friday morning thats ill see major person guide right insurance,0
congratulation ur awarded either £ cd gift voucher free entry £ weekly draw txt music tncs wwwldewcomwinppmxage,1
nothing much chillin home super bowl plan,0
rounderso required,0
hi finally completed course,0
hiya u like hlday pic looked horrible took mo hows camp amrca thing speak soon serena,0
bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care u forevr goodfriend,0
remet alex nichols middle school turn he dealing,0
r e meeting tmr,0
pity mood soany suggestion,0
u secret admirer looking make contact ufind rreveal think ur specialcall,1
prepare pounded every night,0
ltgt k oh send home sale,0
texted finished long time ago showered erything,0
alright ill make sure car back tonight,0
wonder youll get text,0
ok im waliking ard u wan buy anything go ur house,0
cooked rather nice salmon la,0
plz note anyone calling mobile co amp asks u type ltgt ltgt disconnect callcoz iz attempt terrorist make use sim card itz confirmd nokia n motorola n verified cnn ibn,0
show wot say could u c dust,0
today voda number ending selected receive award match please call quoting claim code standard rate app,1
gran onlyfound afew day agocusoon honi,0
sure night menu know noon menu,0
buy pizza meat lover supreme u get pick,0
yeah able ill text im ready meet,0
remain unconvinced isnt elaborate test willpower,0
wat time liao still got,0
room need,0
mean get door,0
many people seems special first sight remain special till last sight maintain till life end take cr da,0
oh yes ive little weather ive kind coccooning home,0
ok later showing around want cld drink wld prefer spend money nosh dont mind nxt wk,0
depends would like treated,0
right though cant give space want need really starting become issue going suggest setting definite move outif im still greece maybe ready,0
gr handle victoria island traffic plus whens album due,0
uncle boye need movie oh guide plus know torrent particularly legal system slowing gr day plus started co dont meet online honey moon,0
shower baby,0
dont make ne plan nxt wknd coz want u come ok,0
alright tyler got minor crisis home sooner thought asap,0
ha u e thing got tv watch u thk go tonight u already haf smth mind,0
ü ready call,0
road cant txt,0
hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem,0
yeah confirmed staying weekend,0
want grasp pretty booty,0
gr poly tone mob direct u rply poly title eg poly breathe title crazyin sleepingwith finest ymca getzedcouk poboxowwq p,1
well obviously people cool college life went home,0
searching good dual sim mobile pa,0
ask u meeting da ge tmr nite,0
watching cartoon listening music amp eve go temple amp church u,0
headin towards busetop,0
im back lem know youre ready,0
know lab goggles went,0
arun u transfr amt,0
evo download flash jealous,0
congrats kanowhr treat maga,0
got smaller capacity one quite ex,0
checking,0
fyi im usf swing room whenever,0
think ur smart win £ week weekly quiz text play nowtcs winnersclub po box uz gbpweek,1
ok problem u frm wats matter,0
fear fainting housework quick cuppa,0
sorry bathroom sup,0
prepare pleasured,0
